,tot_view,totdat_YJwordview_before_x
禽獸,890189,4.078775566515041
汪,890189,4.078775566515041
恐嚇,889722,4.07875470663992
薅,886201,4.078596994503068
气,886201,4.078596994503068
两下,886201,4.078596994503068
玩不起,886201,4.078596994503068
湯鎮業,885170,4.078550667517266
翁美玲,885170,4.078550667517266
絕不會,884182,4.078506210101879
横祸,883077,4.078456415230304
有贤妻,883077,4.078456415230304
夫无,883077,4.078456415230304
拌,878636,4.078255510245897
好極,878636,4.078255510245897
氣炸鍋,878636,4.078255510245897
麻又辣,878636,4.078255510245897
ChinaNewsService,874335,4.0780597392457105
局势,874335,4.0780597392457105
心臟,873954,4.078042339710288
脂肪肝,869002,4.077815335412277
壳,858726,4.077339133357313
鮑聖光,858669,4.077336472304743
主席,853116,4.077076178467168
🍁,852182,4.077032192091528
凡尔赛,852182,4.077032192091528
老秦,852182,4.077032192091528
伤害,852182,4.077032192091528
无意,852182,4.077032192091528
Mic,845962,4.076737736430968
終於瞞,843807,4.076635093956032
限,842570,4.076576029332739
🍾,836213,4.076270794372576
說要,835263,4.07622493339834
