,words,tot_view
923,テ,2379058
924,NHK,2379058
925,Aimer,2379058
926,總,2375895
927,靈,2374534
928,燈神,2374534
929,拉,2374534
930,千年,2374534
931,足,2373567
932,起源,2373567
933,沒想,2373567
934,梅西,2373567
935,年薪,2373567
936,人性,2370702
937,上海,2370702
938,瞬間,2365728
939,搶,2365728
940,女星,2365728
941,通關,2355900
942,🧧,2347065
943,政治,2341404
944,TVBS,2335340
945,短剧,2301993
946,兩個,2286428
947,老公,2284656
948,测试,2278120
949,樂壇,2274762
950,叱咤,2274762
951,挑战,2270802
952,宁峻宁,2270802
953,媳婦,2261932
954,路,2253704
955,剧场,2235810
956,撿,2233624
957,👊,2229293
958,遇害,2215908
959,碎屍,2215908
960,碎,2215908
961,沙特,2215728
962,風雲榜,2213116
963,仔,2212458
964,兒子,2194260
965,經濟學,2184885
966,巨星,2184594
967,一代,2184594
968,不到,2172828
969,小宇,2163012
970,女朋友,2153515
971,快速,2145236
972,鄺球,2134232
973,內地,2134232
974,🐰,2120134
975,我妈,2118084
976,面有,2114921
977,發,2114921
978,湯,2114921
979,小男孩,2114921
980,Son,2109996
981,PimwTalk,2105677
982,整,2101785
983,報,2096451
984,金剛,2089680
985,變形,2089680
986,變,2089680
987,萬獸,2089680
988,暑假,2089680
989,戲院,2089680
990,前導,2089680
991,全台,2089680
992,差距,2063655
993,一年,2063655
994,明熹,2057514
995,求,2051994
996,新世界,2051994
997,廠,2051994
998,末日,2050734
999,地球,2050734
1000,最新,2040115
1001,전,2023604
1002,불,2023604
1003,도,2023604
1004,대,2023604
1005,깨,2023604
1006,걸,2023604
1007,佢,2021514
1008,我家,2018457
1009,分屍案,2016320
1010,爺,2012248
1011,ا,2009485
1012,魅力,2000144
1013,科技,1984851
1014,马,1979685
1015,揭,1978719
1016,內幕,1978719
1017,樣,1970970
1018,善良,1970832
1019,恐慌,1970144
1020,豪,1967916
1021,李正皓,1967916
1022,教,1967916
1023,嘉,1967916
1024,吳子,1967916
1025,劉寶傑,1967916
1026,网购,1961160
1027,師傅,1959464
1028,大埔,1959464
1029,活動,1956468
1030,風,1952474
1031,贏面,1952474
1032,DPP,1952474
1033,小女孩,1950000
1034,驚人,1947087
1035,透露,1947087
1036,習,1947087
1037,卜,1947087
1038,現任,1947000
1039,美債,1943172
1040,字幕版,1943172
1041,經典,1938592
1042,匪夷所思,1938592
1043,四十,1935420
1044,信息量,1935420
1045,三分,1935420
1046,烹屍,1925082
1047,過年,1924408
1048,超強,1924408
1049,菜,1924408
1050,徐,1924408
1051,企,1924408
1052,Ep1,1924408
1053,180,1924408
1054,根,1917270
1055,絕症,1914124
1056,攻克,1914124
1057,不死,1914124
1058,40,1914124
1059,女子,1910724
1060,良醫,1907548
1061,星街,1894898
1062,す,1894898
1063,番茄,1891720
1064,小烏龍,1891720
1065,夜市,1891629
1066,🎉,1887494
1067,盛宴,1887494
1068,回顾,1887494
